company_type;name;region;working_place;investments, milliom UAH;longitude;latitude;sf_coordinates
Working_Factories;"Завод побутової хімії ""Гранд Імпорт""";Хмельницька;NA;NA;26.953859;49.419377;c(26.953859, 49.419377)
Future_Factories;Завод з сушіння овочів;Миколаївська;40;NA;32.81127;47.091163;c(32.81127, 47.091163)
Future_Factories;Завод по литтю пластмаси;Закарпатська;NA;NA;22.703754;48.414271;c(22.703754, 48.414271)
Future_Factories;Завод з виробництвa aвтомобільних джгутів;Вінницька;2500;320;28.493119;49.24879;c(28.493119, 49.24879)
Future_Factories;Українсько-литовське виробництво сонячних панелей;Херсонська;NA;NA;32.605637;46.654798;c(32.605637, 46.654798)
Future_Factories;Меблевий завод;Львівська;500;192;23.427186;49.291247;c(23.427186, 49.291247)
Future_Factories;Завод з переробки гіпсової сировини;Івано-Франківська;35;NA;25.097065;48.7623;c(25.097065, 48.7623)
Future_Factories;Елеваторний комплекс;Сумська;60;NA;34.26321;51.148569;c(34.26321, 51.148569)
Future_Factories;Завод з виробництва біогазу;Тернопільська;NA;64;25.342797;48.933965;c(25.342797, 48.933965)
Future_Factories;Завод з виробництва біогазу;Черкаська;50;NA;31.719254;48.917274;c(31.719254, 48.917274)
Future_Factories;Зерновий термінал;Миколаївська;NA;NA;31.332088;47.536027;c(31.332088, 47.536027)
Future_Factories;Завод з переробки льону;Рівненська;1e3;560;26.541175;51.288623;c(26.541175, 51.288623)
Future_Factories;Лісопильний завод;Рівненська;365;NA;26.619663;51.35005;c(26.619663, 51.35005)
Future_Factories;Завод по переробці м'яса;Львівська;NA;NA;24.306851;49.819062;c(24.306851, 49.819062)
Future_Factories;Cміттєпереробний завод;Харківська;NA;800;36.151444;50.122804;c(36.151444, 50.122804)
Future_Factories;Завод із переробки картоплі;Чернігівська;50;NA;31.282883000000002;51.529251;c(31.282883, 51.529251)
Future_Factories;Завод крохмало- та картоплепродуктів;Чернігівська;160;56;31.182406;51.544478;c(31.182406, 51.544478)
Future_Factories;Біогазовий завод;Івано-Франківська;NA;NA;24.764922;49.132244;c(24.764922, 49.132244)
Future_Factories;Біогазовий завод;Львівська;NA;NA;23.028006;49.154057;c(23.028006, 49.154057)
Future_Factories;Біогазовий комплекс;Вінницька;NA;NA;29.200501;48.67029;c(29.200501, 48.67029)
Future_Factories;Біогазова електрична станція;Дніпропетровська;100;310;35.13521;48.413345;c(35.13521, 48.413345)
Future_Factories;Біогазова електрична станція;Чернігівська;NA;NA;32.400546;50.460162;c(32.400546, 50.460162)
Future_Factories;Біогазова електрична станція;Чернігівська;NA;NA;32.586275;50.477217;c(32.586275, 50.477217)
Future_Factories;Сміттєпереробний завод;Вінницька;NA;NA;29.211162;49.109592;c(29.211162, 49.109592)
Future_Factories;Сміттєпереробний завод;Кіровоградська;160;NA;32.310504;48.538867;c(32.310504, 48.538867)
Future_Factories;Асфальтобетонний завод;Львівська;NA;NA;23.05455;49.178654;c(23.05455, 49.178654)
Future_Factories;Асфальтобетонний завод;Сумська;NA;NA;33.394976;51.544914;c(33.394976, 51.544914)
Future_Factories;Асфальтний завод;Закарпатська;NA;NA;23.472474;48.0505;c(23.472474, 48.0505)
Future_Factories;Олійно-екстракційний завод по переробці сої;Хмельницька;205;NA;27.65294;49.668032;c(27.65294, 49.668032)
Future_Factories;Завод із переробки олійних культур;Хмельницька;NA;NA;27.177639;49.748897;c(27.177639, 49.748897)
Future_Factories;Елеватор;Харківська;35;30;37.357539;49.192116;c(37.357539, 49.192116)
Future_Factories;Елеватор;Житомирська;NA;NA;29.459532;49.943822;c(29.459532, 49.943822)
