Тип підприємства;Підприємство;Область;Кіл-ть робочих місць;Сума інвестицій, млн.грн
Електростанції;"Сонячна електростанція ""Рубанівка""";Херсонська;12;30
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;"Сонячна електростанція ""Терновиця""";Львівська;NA;149
Електростанції;"Сонячна електростанція ""Солар Чорнобиль-1""";Київська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електроснація;Одеська;NA;NA
Електростанції;"Сонячна електростанція ""Іванівка-2""";Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;0.093
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""ТАВАНЬ СОЛАР 1""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""ТАВАНЬ СОЛАР 2""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""ТАВАНЬ СОЛАР 3""";Херсонська;NA;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;21
Електростанції;"Сонячна електростанція ""Добрівлянська ФЕС""";Тернопільська;10;120
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Миколаївська;NA;68
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;75;NA
Електростанції;Сонячна електростанція;Дніпропетровська;450;8160
Електростанції;Нікопольська СЕС;Дніпропетровська;NA;7360
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Богуслав 1""";Київська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;"Сонячна електростанція ""Щирець-1""";Львівська;NA;64
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція; Чернівецька;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Дахова сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Київська;NA;NA
Електростанції;Сонячна електростанція;Харківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;"Сонячна електростанція ""Монастирчани""";Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Закарпатська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;Сонячна електростанція;Житомирська;NA;NA
